epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,21058.1,0.47916,0.62511,1.4561,0.9003,0.57283,0.62674,0.57687,0.37196,0.48623,1.26483,0.002872,0.002872,0.002872
74,21582.7,0.48144,0.62234,1.45464,0.90102,0.5731,0.62734,0.57702,0.37108,0.48391,1.26083,0.002773,0.002773,0.002773
75,22107.8,0.47166,0.60987,1.43572,0.89758,0.574,0.62706,0.57692,0.36992,0.48339,1.25965,0.002674,0.002674,0.002674
76,22634.4,0.47176,0.61259,1.44457,0.90997,0.56942,0.62693,0.5771,0.36851,0.48477,1.25806,0.002575,0.002575,0.002575
77,23160.2,0.47036,0.60848,1.44362,0.89542,0.57482,0.62702,0.57724,0.36738,0.48463,1.25847,0.002476,0.002476,0.002476
78,23686.9,0.46951,0.60701,1.4441,0.89143,0.5761,0.62666,0.57705,0.36659,0.48528,1.25755,0.002377,0.002377,0.002377
79,24213.1,0.46573,0.59904,1.44388,0.8901,0.57593,0.62671,0.57765,0.36584,0.48471,1.25521,0.002278,0.002278,0.002278
80,24738.7,0.46244,0.59328,1.42485,0.8978,0.57263,0.6271,0.57837,0.36521,0.48376,1.25292,0.002179,0.002179,0.002179
81,25265.7,0.45764,0.59667,1.43363,0.89914,0.57254,0.6271,0.57846,0.3644,0.48334,1.25174,0.00208,0.00208,0.00208
82,25791.3,0.46009,0.58961,1.43371,0.88897,0.57644,0.62739,0.57887,0.36405,0.48257,1.252,0.001981,0.001981,0.001981
83,26317.5,0.46065,0.59442,1.43658,0.89575,0.57455,0.62764,0.57895,0.36334,0.48191,1.25131,0.001882,0.001882,0.001882
84,26847.4,0.45549,0.58642,1.42402,0.90467,0.5714,0.62802,0.57884,0.36261,0.4818,1.25041,0.001783,0.001783,0.001783
85,27374,0.4515,0.58402,1.42142,0.90402,0.57216,0.62809,0.57865,0.36233,0.48067,1.25033,0.001684,0.001684,0.001684
86,27901.8,0.4539,0.579,1.42527,0.904,0.57228,0.62832,0.57899,0.36175,0.48036,1.24927,0.001585,0.001585,0.001585
87,28431.7,0.44994,0.57474,1.42228,0.9033,0.5725,0.62822,0.579,0.36135,0.47958,1.24905,0.001486,0.001486,0.001486
88,28962.6,0.44547,0.57299,1.42094,0.90287,0.57273,0.62814,0.57924,0.36107,0.47873,1.24915,0.001387,0.001387,0.001387
89,29492.5,0.44965,0.57491,1.42146,0.90294,0.57294,0.62812,0.57926,0.36073,0.47805,1.2486,0.001288,0.001288,0.001288
90,30020.3,0.44201,0.56528,1.41361,0.90126,0.57384,0.62824,0.5793,0.36022,0.47724,1.24828,0.001189,0.001189,0.001189
91,30607.4,0.36487,0.4466,1.288,0.90194,0.57355,0.62857,0.57981,0.35968,0.47659,1.24715,0.00109,0.00109,0.00109
92,31131.2,0.36298,0.43986,1.28683,0.90149,0.5736,0.62881,0.58008,0.35875,0.47569,1.24531,0.000991,0.000991,0.000991
93,31654.6,0.36021,0.43818,1.28453,0.89907,0.57489,0.62908,0.58033,0.35835,0.47503,1.24429,0.000892,0.000892,0.000892
94,32180.2,0.35476,0.42882,1.27726,0.89661,0.57614,0.62918,0.58061,0.35746,0.47467,1.24316,0.000793,0.000793,0.000793
95,32750.2,0.34662,0.41653,1.26849,0.89357,0.5772,0.6291,0.58079,0.35682,0.47444,1.24252,0.000694,0.000694,0.000694
