epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
92,29944.6,0.54667,0.73434,1.48686,0.88909,0.55998,0.61398,0.56033,0.40611,0.54371,1.24958,0.003994,0.003994,0.003994
93,30489,0.54622,0.72813,1.4789,0.88964,0.55951,0.61427,0.56072,0.40568,0.54277,1.24904,0.003928,0.003928,0.003928
94,31032.8,0.54104,0.72459,1.47567,0.89212,0.55932,0.61442,0.56079,0.40549,0.54177,1.24881,0.003862,0.003862,0.003862
95,31577.8,0.54072,0.72207,1.48799,0.89264,0.55953,0.6146,0.56098,0.40502,0.54122,1.24833,0.003796,0.003796,0.003796
96,32123.2,0.54492,0.72797,1.48497,0.8926,0.55958,0.61486,0.56132,0.40453,0.54061,1.24799,0.00373,0.00373,0.00373
97,32668,0.53524,0.7143,1.4675,0.8921,0.56031,0.61499,0.56122,0.40414,0.5399,1.24793,0.003664,0.003664,0.003664
98,33213.2,0.53171,0.7199,1.46853,0.89174,0.56077,0.61526,0.56137,0.40356,0.53953,1.24757,0.003598,0.003598,0.003598
99,33758.6,0.53771,0.71595,1.47615,0.89323,0.56119,0.61537,0.56134,0.40325,0.53917,1.24749,0.003532,0.003532,0.003532
100,34302.8,0.534,0.71164,1.48009,0.89238,0.56172,0.61552,0.56152,0.4027,0.53828,1.24724,0.003466,0.003466,0.003466
101,34847.7,0.52873,0.70361,1.47078,0.89248,0.56142,0.61553,0.56196,0.40227,0.53756,1.24725,0.0034,0.0034,0.0034
102,35392.8,0.52898,0.7012,1.4664,0.89237,0.56179,0.61561,0.56229,0.40165,0.53685,1.24634,0.003334,0.003334,0.003334
103,35938.8,0.52946,0.71301,1.46685,0.89282,0.5623,0.61579,0.56252,0.40138,0.53638,1.24599,0.003268,0.003268,0.003268
104,36484.2,0.52769,0.7091,1.46649,0.89213,0.56262,0.61588,0.56283,0.4009,0.53576,1.24542,0.003202,0.003202,0.003202
105,37030.1,0.52889,0.70635,1.47822,0.89172,0.56246,0.61564,0.56286,0.40051,0.53537,1.24496,0.003136,0.003136,0.003136
106,37626.8,0.52383,0.69865,1.46802,0.89123,0.56233,0.61577,0.56308,0.40015,0.53481,1.24465,0.00307,0.00307,0.00307
107,38183.5,0.52689,0.69608,1.46772,0.89157,0.56235,0.61586,0.5632,0.3998,0.53447,1.2443,0.003004,0.003004,0.003004
108,38728,0.51815,0.69772,1.46554,0.89334,0.56157,0.61599,0.56342,0.39953,0.53378,1.24396,0.002938,0.002938,0.002938
109,39271.8,0.51982,0.69218,1.45796,0.89202,0.56228,0.61607,0.56361,0.39918,0.53343,1.24369,0.002872,0.002872,0.002872
110,39819.9,0.52207,0.68455,1.45739,0.89234,0.56256,0.61597,0.56372,0.39873,0.53271,1.24334,0.002806,0.002806,0.002806
111,40365.4,0.5178,0.68522,1.45642,0.89204,0.56277,0.61618,0.56383,0.3984,0.53218,1.24297,0.00274,0.00274,0.00274
112,40908.9,0.5185,0.68739,1.46214,0.89289,0.56238,0.61633,0.56415,0.3981,0.5315,1.24286,0.002674,0.002674,0.002674
113,41453.3,0.51687,0.68845,1.45927,0.89382,0.56223,0.61645,0.56408,0.39778,0.53104,1.24269,0.002608,0.002608,0.002608
114,41999.8,0.51012,0.67777,1.44662,0.89239,0.56292,0.61653,0.56411,0.39757,0.53063,1.24256,0.002542,0.002542,0.002542
115,42549.1,0.51111,0.67306,1.45605,0.8931,0.56302,0.61659,0.56423,0.3972,0.53019,1.2422,0.002476,0.002476,0.002476
116,43119.9,0.51049,0.67861,1.45429,0.89265,0.56337,0.61669,0.56423,0.39703,0.52991,1.24209,0.00241,0.00241,0.00241
117,43697.3,0.50779,0.67341,1.45169,0.89183,0.5639,0.61676,0.56431,0.39672,0.52945,1.24202,0.002344,0.002344,0.002344
118,44254.7,0.50872,0.67298,1.44948,0.8913,0.56426,0.61695,0.56457,0.39642,0.52906,1.24183,0.002278,0.002278,0.002278
